Designator,Footprint,Quantity,Value,LCSC Part #
"C0, C1",0603,2,100nF,C1525
"D0, D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D4, D5, D6, D7, D8, D9",D_SOD-123,35,D_Small,
D35,D_SOD-323_HandSoldering,1,PMEG2010EA,C2837790
F0,0603,1,500mA,C210357
J0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C2765186
"MX0, MX1, MX10, MX11, MX13, MX14, MX15, MX16, MX17_ISO_1, MX18, MX19, MX2, MX20, MX21, MX23, MX24, MX25, MX26, MX27, MX28_3, MX3, MX30, MX31, MX32, MX33, MX34, MX4, MX5_ISO_0, MX6_R_ISO_0, MX7, MX8, MX9",SW_MX_1u,32,MX_SW_solder,
"MX12_1.25, MX17_1.25, MX22_1.25",SW_MX_1.25u,3,MX_SW_solder,
"MX16_1.5, MX28_1.5, MX29_1.5, MX5_1.5, MX6_1.5",SW_MX_1.5u,5,MX_SW_solder,
R0,0603,1,10k,C25744
"R1, R2",0603,2,5.1k,C25905
"S0, S1, S3",STAB_MX_P_ISO,3,MX_stab,
S2,STAB_MX_P_3u,1,MX_stab,
SW0,SW_Push_SPST_NO_Alps_SKRK,1,BOOT,C115357
U0,SOT-23-6,1,USBLC6-2SC6,C2687116
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,~,C111367
